#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Column1
1,1.02,Adrian Peterson,RB,MIN,1.7,1.1,1.01,1.1,137,
2,1.02,Ray Rice,RB,BAL,2.3,1.4,1.01,1.12,104,
3,1.03,Chris Johnson,RB,TEN,2.7,1.1,1.01,1.06,88,
4,1.04,Arian Foster,RB,HOU,4.2,1.3,1.01,1.08,119,
5,1.05,Jamaal Charles,RB,KC,5.3,1.4,1.01,1.09,134,
6,1.05,LeSean McCoy,RB,PHI,5.5,1.5,1.01,1.11,182,
7,1.07,Andre Johnson,WR,HOU,7.1,2,1.02,1.12,137,
8,1.09,Michael Vick,QB,PHI,8.9,3.9,1.01,2.07,65,
9,1.1,Roddy White,WR,ATL,9.9,2.1,1.07,2.06,124,
10,1.11,Calvin Johnson,WR,DET,11,2.5,1.04,2.08,133,
11,1.11,Maurice Jones-Drew,RB,JAX,11.3,2.6,1.05,2.07,99,
12,1.12,Darren McFadden,RB,LV,12.1,3,1.05,2.08,183,
13,1.12,Rashard Mendenhall,RB,PIT,12.1,3.2,1.04,2.08,110,
14,2.01,Larry Fitzgerald,WR,ARI,12.9,2.6,1.01,2.08,169,
15,2.02,Aaron Rodgers,QB,GB,13.5,5,1.01,2.11,133,
16,2.05,Hakeem Nicks,WR,NYG,17,3.2,1.01,3.01,122,
17,2.06,Vincent Jackson,WR,LAC,17.6,2.9,1.12,3.02,129,
18,2.06,Frank Gore,RB,SF,18.4,4,1.07,3.06,125,
19,2.06,Matt Forte,RB,CHI,18.4,3.1,1.11,3.02,166,
20,2.09,Greg Jennings,WR,GB,21.2,3.2,2.01,3.08,117,
21,2.09,Steven Jackson,RB,LAR,21.2,3.7,2.01,3.07,147,
22,2.1,Michael Turner,RB,ATL,22.3,4.4,1.02,3.07,90,
23,2.11,Mike Wallace,WR,PIT,23.4,3.6,2.01,3.07,123,
24,2.12,Tom Brady,QB,NE,23.5,5.1,1.1,3.12,103,
25,3.02,Miles Austin,WR,DAL,25.7,3.8,2.04,3.11,117,
26,3.02,Peyton Hillis,RB,CLE,26.2,5.2,1.07,4.04,152,
27,3.03,Philip Rivers,QB,LAC,27.1,5.8,1.09,4.06,173,
28,3.04,Reggie Wayne,WR,IND,28.3,4.5,2.04,4.02,50,
29,3.04,Felix Jones,RB,DAL,28.3,4.6,2.01,4.06,144,
30,3.07,LeGarrette Blount,RB,TB,30.8,4.3,2.06,4.05,127,
31,3.07,DeSean Jackson,WR,PHI,31.1,4.9,2.09,4.1,116,
32,3.08,Wes Welker,WR,NE,32.3,5.4,2.09,4.11,118,
33,3.09,Drew Brees,QB,NO,33.5,6.7,2.03,5.02,134,
34,3.1,Jahvid Best,RB,DET,33.7,5.5,2.04,5.03,159,
35,3.1,Brandon Marshall,WR,MIA,34.1,5.5,2.03,4.12,133,
36,3.1,Ahmad Bradshaw,RB,NYG,34.4,4.6,2.09,5.02,129,
37,4.02,Antonio Gates,TE,LAC,37.9,6.4,2.03,5.07,109,
38,4.03,Dwayne Bowe,WR,KC,38.8,5.9,1.11,5.04,132,
39,4.03,Shonn Greene,RB,NYJ,39.4,6,2.08,5.08,137,
40,4.04,Dez Bryant,WR,DAL,39.8,5.6,3.01,5.06,135,
41,4.07,Jermichael Finley,TE,GB,42.9,4.6,3.09,5.08,87,
42,4.08,DeAngelo Williams,RB,CAR,43.9,6.6,3.02,6.01,108,
43,4.09,Jason Witten,TE,DAL,45.5,6.3,3.06,6.02,97,
44,4.1,Brandon Lloyd,WR,LAR,46.3,6.5,3.01,6.11,93,
45,4.11,Knowshon Moreno,RB,DEN,46.6,7.9,2.11,6.05,114,
